Dimensionless time,Outlet dimensionless concentration 1,Outlet dimensionless concentration 2
210.72500000000002,0.1350801596043632,0.85
210.75,0.1351311264469578,0.85
210.775,0.13518194362936858,0.85
210.8,0.13523261143849652,0.85
210.82500000000002,0.135283130161679,0.85
210.85000000000002,0.1353335000866822,0.85
210.875,0.13538372150169328,0.85
210.9,0.1354337946953126,0.85
210.925,0.13548371995654615,0.85
210.95000000000002,0.1355334975747978,0.85
210.97500000000002,0.13558312783986168,0.85
211.0,0.13563261104191465,0.85
211.025,0.13568194747150877,0.85
211.05,0.1357311374195637,0.85
211.07500000000002,0.13578018117735924,0.85
211.10000000000002,0.135829079036528,0.85
211.125,0.13587783128904785,0.85
211.15,0.1359264382272346,0.85
211.175,0.13597490014373473,0.85
211.20000000000002,0.13602321733151798,0.85
211.22500000000002,0.13607139008387018,0.85
211.25,0.13611941869438593,0.85
211.275,0.13616730345696149,0.85
211.3,0.13621504466578757,0.85
211.32500000000002,0.13626264261534224,0.85
211.35000000000002,0.13631009760038382,0.85
211.375,0.13635740991594383,0.85
211.4,0.13640457985732002,0.85
211.425,0.13645160772006934,0.85
211.45000000000002,0.136498493800001,0.85
211.47500000000002,0.13654523839316962,0.85
211.5,0.13659184179586825,0.85
211.525,0.13663830430462165,0.85
211.55,0.13668462621617944,0.85
211.57500000000002,0.13673080782750935,0.85
211.60000000000002,0.13677684943579047,0.85
211.625,0.13682275133840655,0.85
211.65,0.1368685138329394,0.85
211.675,0.13691413721716228,0.85
211.70000000000002,0.1369596217890332,0.85
211.72500000000002,0.1370049678466885,0.85
211.75,0.13705017568843628,0.85
211.775,0.13709524561274994,0.85
211.8,0.13714017791826172,0.85
211.82500000000002,0.13718497290375634,0.85
211.85000000000002,0.13722963086816456,0.85
211.875,0.137274152110557,0.85
211.9,0.13731853693013762,0.85
211.925,0.1373627856262377,0.85
211.95000000000002,0.13740689849830937,0.85
211.97500000000002,0.1374508758459197,0.85
212.0,0.13749471796874432,0.85
212.025,0.1375384251665614,0.85
212.05,0.13758199773924557,0.85
212.07500000000002,0.13762543598676186,0.85
212.10000000000002,0.13766874020915973,0.85
212.125,0.13771191070656702,0.85
212.15,0.1377549477791841,0.85
212.175,0.1377978517272779,0.85
212.20000000000002,0.13784062285117613,0.85
212.22500000000002,0.1378832614512613,0.85
212.25,0.13792576782796517,0.85
212.275,0.13796814228176274,0.85
212.3,0.13801038511316666,0.85
212.32500000000002,0.13805249662272154,0.85
212.35000000000002,0.13809447711099826,0.85
212.375,0.13813632687858837,0.85
212.4,0.13817804622609853,0.85
212.425,0.13821963545414495,0.85
212.45000000000002,0.13826109486334787,0.85
212.47500000000002,0.13830242475432605,0.85
212.5,0.13834362542769146,0.85
212.525,0.13838469718404375,0.85
212.55,0.1384256403239649,0.85
212.57500000000002,0.13846645514801395,0.85
212.60000000000002,0.13850714195672162,0.85
212.625,0.13854770105058511,0.85
212.65,0.13858813273006285,0.85
212.675,0.13862843729556926,0.85
212.70000000000002,0.1386686150474697,0.85
212.72500000000002,0.1387086662860752,0.85
212.75,0.1387485913116375,0.85
212.775,0.13878839042434393,0.85
212.8,0.13882806392431238,0.85
212.82500000000002,0.13886761211158635,0.85
212.85000000000002,0.13890703528613,0.85
212.875,0.13894633374782314,0.85
212.9,0.13898550779645652,0.85
212.925,0.13902455773172678,0.85
212.95000000000002,0.1390634838532318,0.85
212.97500000000002,0.1391022864604658,0.85
213.0,0.13914096585281466,0.85
213.025,0.13917952232955122,0.85
213.05,0.13921795618983052,0.85
213.07500000000002,0.1392562677326852,0.85
213.10000000000002,0.13929445725702094,0.85
213.125,0.13933252506161176,0.85
213.15,0.1393704714450956,0.85
213.175,0.1394082967059697,0.85
213.20000000000002,0.13944600114258618,0.85
213.22500000000002,0.13948358505314762,0.85
213.25,0.13952104873570256,0.85
213.275,0.1395583924881412,0.85
